,index,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_MODALIDADE_ENSINO,CO_COR_RACA_ALUNO,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,CO_UF_NASCIMENTO,DT_INGRESSO_CURSO,IN_FINANC_ESTUDANTIL,IN_ING_CONVENIO_PECG,IN_SEXO_ALUNO,IN_MOBILIDADE_ACADEMICA,NO_OCDE_AREA_GERAL
16326,77f4e8d780998bafc3a2fc05f4d975f0713caecc,5.0,1.0,1.0,3.0,1.0,0.0,1996,11,23,42.0,2015-01-01,1.0,0.0,1.0,0.0,Serviços
16349,a26c6afbf350cf5b94bba24069750ab407e42a6f,5.0,1.0,3.0,3.0,1.0,0.0,1985,10,10,42.0,2011-01-01,1.0,0.0,0.0,0.0,Serviços
16638,3aeb18a48d8ce1c9e6707a22c9cc35a93dda84d4,5.0,1.0,1.0,3.0,1.0,0.0,1988,1,11,42.0,2010-01-01,0.0,0.0,1.0,0.0,Serviços
16654,4ffbf02cfb3aaab9134ff00d6b98de1f49302ff7,1.0,4.0,1.0,3.0,1.0,1.0,1993,7,20,42.0,2015-01-01,,,0.0,0.0,Serviços
17076,4b91f79d213ae5b6c47e80b557ba79c12badf499,4.0,3.0,3.0,3.0,1.0,1.0,1988,7,7,,2010-01-01,0.0,0.0,0.0,0.0,Serviços
17193,980101465256de2ce0238540c6248ff4d4394064,1.0,4.0,1.0,3.0,1.0,1.0,1989,1,12,42.0,2016-01-01,,,0.0,0.0,Serviços
17222,4853fd2efa70114e7442fb8c2e5405f446bd1c60,1.0,4.0,1.0,3.0,1.0,1.0,1982,4,8,42.0,2015-01-07,,,1.0,0.0,Serviços
17445,6e58aca7e9e4175526cec19d4e9c4a4c8e5b4018,1.0,4.0,1.0,3.0,1.0,1.0,1994,1,20,42.0,2015-01-01,,,1.0,0.0,Serviços
17462,777d2b83247a8b1e553f03198ecdbac322522c26,1.0,4.0,1.0,3.0,1.0,3.0,1993,6,25,35.0,2016-01-01,,,0.0,0.0,Serviços
17660,73cf2de697833f137ac5314f842e2045f6d102fe,1.0,4.0,1.0,3.0,1.0,1.0,1997,5,21,43.0,2016-01-01,,,1.0,0.0,Serviços
17766,58f7a7fe75335fac28416d82ae964d85f2343111,5.0,1.0,1.0,3.0,1.0,1.0,1997,1,11,42.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
17847,c247eb19a48b9fe8f7962f39d5c25a9a352d0ff2,1.0,4.0,1.0,3.0,1.0,1.0,1996,1,29,35.0,2015-01-01,,,0.0,0.0,Serviços
