,index,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_MODALIDADE_ENSINO,CO_COR_RACA_ALUNO,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,CO_UF_NASCIMENTO,DT_INGRESSO_CURSO,IN_FINANC_ESTUDANTIL,IN_ING_CONVENIO_PECG,IN_SEXO_ALUNO,IN_MOBILIDADE_ACADEMICA,NO_OCDE_AREA_GERAL
52655,68aad36330e526384ae506a534ef6375f0ede847,5.0,1.0,3.0,3.0,1.0,1.0,1994,4,27,42.0,2015-01-07,0.0,0.0,0.0,0.0,Serviços
52713,f58c17d48c27d10fdf551851b1cd6b76f058dbbc,5.0,3.0,3.0,3.0,1.0,1.0,1978,2,25,42.0,2011-01-01,0.0,,0.0,0.0,Serviços
52853,53af0ce4bd4f78d7a95eeabebbb85411d0f93412,5.0,1.0,3.0,3.0,1.0,0.0,1993,7,22,42.0,2012-01-01,0.0,0.0,1.0,0.0,Serviços
52955,8982f3029643d22b7b1b262d897f1dd7bfa3b39a,5.0,1.0,3.0,3.0,1.0,1.0,1991,11,12,42.0,2016-01-01,0.0,0.0,1.0,0.0,Serviços
52999,4b6d4ac3cd8cacede94cf6a1ee01d408459ae74b,1.0,4.0,1.0,3.0,1.0,1.0,1983,11,5,42.0,2013-01-01,,,1.0,0.0,Serviços
53118,5f660342c6e296e691f737596f0821e185cccca3,5.0,1.0,3.0,3.0,1.0,0.0,1994,9,25,43.0,2014-01-07,0.0,0.0,1.0,0.0,Serviços
53216,f502aba60bc881eaa641ba15c2cedc7966eeff2e,1.0,4.0,1.0,3.0,1.0,1.0,1961,2,22,43.0,2013-01-01,,,1.0,0.0,Serviços
53359,bda9bb13ba463b79b2ff3a69157be85f43b6e6f0,1.0,4.0,1.0,3.0,1.0,1.0,1968,2,28,31.0,2013-01-01,,,1.0,0.0,Serviços
53394,1d820e11e74d39eac5cd92b50e907a8a5ce426d0,1.0,4.0,1.0,3.0,1.0,1.0,1995,6,14,41.0,2015-01-01,,,1.0,0.0,Serviços
53430,c78f9872263af776a63a9a22d873f16daed13d67,5.0,1.0,1.0,3.0,1.0,1.0,1996,8,12,42.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
53486,8a1b8c7c1402855130f4451d371ff231d7b073d6,5.0,1.0,3.0,3.0,1.0,0.0,1998,12,20,41.0,2015-01-07,0.0,0.0,0.0,0.0,Serviços
53570,2f91c86e727d66d45e7a51a4984c4dd49d2fd8e9,5.0,1.0,1.0,3.0,1.0,0.0,1990,11,27,42.0,2016-01-01,1.0,0.0,0.0,0.0,Serviços
54033,e9ea9c0c8829f0046fb4216e20e8899748047ef5,1.0,4.0,1.0,3.0,1.0,1.0,1964,6,16,42.0,2013-01-01,,,1.0,0.0,Serviços
54260,2086d6715e74d46273dbdfdd53d37125d3869c5d,5.0,1.0,3.0,3.0,1.0,0.0,1971,2,24,,2015-01-01,1.0,0.0,1.0,0.0,Serviços
54271,8ea917344b561fd6bc140e934df6c2eed0ff09a6,1.0,4.0,1.0,3.0,1.0,1.0,1979,4,11,35.0,2014-01-01,,,1.0,0.0,Serviços
54540,fd6dc164ff0dba56cef20e332a8f7d0c366e143b,5.0,1.0,1.0,3.0,1.0,0.0,1996,5,19,42.0,2016-01-07,1.0,0.0,0.0,0.0,Serviços
55194,523779b492f3b5cf9e1fec7eadd728749491e695,4.0,3.0,3.0,3.0,1.0,1.0,1985,3,25,,2008-01-07,0.0,0.0,1.0,0.0,Serviços
55566,99f2d74ab4ca5fe6dbdc125ab19d418db87950ad,5.0,1.0,3.0,3.0,1.0,1.0,1998,6,16,42.0,2016-01-01,1.0,0.0,0.0,0.0,Serviços
55809,ae927f606f8e0fa02ea9f043043dca0d2fac84dd,1.0,4.0,1.0,3.0,1.0,3.0,1993,2,9,21.0,2013-01-01,,,0.0,0.0,Serviços
55872,2ba7a30e1fb4638bacd15f22196563d251708954,1.0,4.0,1.0,3.0,1.0,0.0,1975,4,10,35.0,2015-01-01,,,1.0,0.0,Serviços
56072,d837f61dd94c3b1b9e444754657f38070b640b1a,5.0,1.0,1.0,3.0,1.0,0.0,1997,12,28,42.0,2015-01-01,1.0,0.0,0.0,0.0,Serviços
56243,5962bf2f69cd0e1d59d6c45260b1c6745b0d137a,5.0,1.0,3.0,3.0,1.0,0.0,1996,7,24,42.0,2014-01-01,1.0,0.0,1.0,0.0,Serviços
56452,9197e5342eca40f9a4a6a6fd3cecc6cdad21495e,5.0,1.0,1.0,3.0,1.0,0.0,1993,11,12,42.0,2014-01-01,0.0,0.0,1.0,0.0,Serviços
56468,c44e0fcbd906be991a693286f4cd612fe2d43e77,1.0,4.0,1.0,3.0,1.0,1.0,1989,3,6,43.0,2016-01-01,,,0.0,0.0,Serviços
56767,ab983aae5e0af57ca2824807af7be1d822a8de62,5.0,1.0,3.0,3.0,1.0,0.0,1990,12,27,42.0,2015-01-01,1.0,0.0,1.0,0.0,Serviços
57080,102d8f152541c6e0b2c04fc90381ac231fe6d904,5.0,1.0,3.0,3.0,1.0,0.0,1988,11,17,42.0,2015-01-01,0.0,0.0,0.0,0.0,Serviços
57519,5924ab23e2a7335f0910e31d9fe0584f3448cef3,4.0,3.0,3.0,3.0,1.0,1.0,1994,1,9,,2012-01-01,0.0,0.0,0.0,0.0,Serviços
57760,59b37a0d4021b1fbf6b91d17fe0ee0b3e32f658b,4.0,3.0,3.0,3.0,1.0,1.0,1979,6,2,,2013-01-01,0.0,0.0,1.0,0.0,Serviços
57893,a06a25b7a30ab3b94d645daa99d91cb839013464,5.0,1.0,3.0,3.0,1.0,0.0,1996,4,14,42.0,2014-01-01,0.0,0.0,0.0,0.0,Serviços
58389,bdb35f39e4658a16ec7e4d6f381221aa1830bea0,1.0,4.0,1.0,3.0,1.0,1.0,1992,1,29,,2016-01-01,,,0.0,0.0,Serviços
58624,d1759f24f51533f71ffcb21d6f5bd84422eab12d,1.0,4.0,1.0,3.0,1.0,1.0,1996,6,26,42.0,2014-01-01,,,1.0,0.0,Serviços
58724,dbaa591a9dbd03c7b75729c27d377a09a234eb7d,5.0,1.0,1.0,3.0,1.0,0.0,1969,1,9,41.0,2015-01-01,0.0,0.0,0.0,0.0,Serviços
58779,53a8f86f8290a7509a0d2ac0e8c205f74bc81a9d,1.0,4.0,1.0,3.0,1.0,1.0,1988,11,21,11.0,2015-01-01,,,1.0,0.0,Serviços
58795,8750b5dcfce91b0b77a6463ffc564602f1d8c066,1.0,4.0,1.0,3.0,1.0,1.0,1965,11,28,42.0,2013-01-01,,,0.0,0.0,Serviços
58816,dee6009f854f6b603cbfd7f57afc79bc2dd96aa5,1.0,4.0,1.0,3.0,1.0,1.0,1992,9,9,42.0,2016-01-01,,,1.0,0.0,Serviços
58955,1ac09b89a7dc989540c559db1bd35a4ff03290d8,1.0,4.0,1.0,3.0,1.0,1.0,1998,12,22,42.0,2016-01-01,,,1.0,0.0,Serviços
59123,3b164f49d6fbce94f257aef2e83a7577b147d1a0,1.0,4.0,1.0,3.0,1.0,2.0,1984,5,7,43.0,2013-01-01,,,1.0,0.0,Serviços
59678,a9fceae70db7231fd7759d3957abae31c316631a,1.0,4.0,1.0,3.0,1.0,3.0,1993,11,25,,2016-01-01,,,1.0,0.0,Serviços
59898,9f80578c05ad574b9e0206448b28414f58c50c05,1.0,4.0,1.0,3.0,1.0,1.0,1996,4,11,,2014-01-01,,,1.0,0.0,Serviços
59986,0f48eebef498144e73674b250e9d169bb0665627,1.0,4.0,1.0,3.0,1.0,1.0,1997,1,9,42.0,2016-01-01,,,0.0,0.0,Serviços
60501,b9585c6984f8c328e5aee2822e3d7e132b843e6a,5.0,1.0,3.0,3.0,1.0,1.0,1994,7,16,41.0,2015-01-01,1.0,0.0,0.0,0.0,Serviços
60726,06fc57e6782e435957eeed292a1d4847d69593d6,5.0,1.0,3.0,3.0,1.0,1.0,1994,5,20,42.0,2015-01-01,1.0,0.0,1.0,0.0,Serviços
60778,f2a56c26eb5f55691cfbfdecc87dee951b68aadf,5.0,1.0,3.0,3.0,1.0,0.0,1998,7,15,42.0,2016-01-01,0.0,0.0,0.0,0.0,Serviços
60781,1ad3d0896c1ddd7fa7494ca9aa80fedf4c72e6be,1.0,4.0,1.0,3.0,1.0,1.0,1989,5,29,43.0,2016-01-01,,,1.0,0.0,Serviços
60875,2377b3281283ed7db0539c7ef0fead86b592233a,1.0,4.0,1.0,3.0,1.0,2.0,1979,11,2,42.0,2016-01-01,,,0.0,0.0,Serviços
60884,0f468d778486ec61e5c0d345799f9862c59f6e5d,1.0,4.0,1.0,3.0,1.0,3.0,1985,12,10,29.0,2013-01-01,,,0.0,0.0,Serviços
60887,8e337fcd75bccdb812eacd301002ccc00742c0e4,4.0,3.0,3.0,3.0,1.0,0.0,1992,3,8,,2012-01-07,0.0,0.0,1.0,0.0,Serviços
60939,e896aed677b375956bcac386e47248e3e6c543a5,1.0,4.0,1.0,3.0,1.0,1.0,1996,1,13,41.0,2016-01-01,,,1.0,0.0,Serviços
60996,3c10e0c1b009993a603f6e0af0fd08ae2b08ba45,5.0,1.0,3.0,3.0,1.0,1.0,1994,9,27,,2015-01-01,0.0,0.0,1.0,0.0,Serviços
61010,b33b6970dca95ea6e4a40eb64debdc2b78dc313d,5.0,1.0,1.0,3.0,1.0,0.0,1991,3,25,42.0,2014-01-01,0.0,0.0,0.0,0.0,Serviços
61128,1a4901c383f35b615c86eb76ec0d27593875885c,5.0,1.0,3.0,3.0,1.0,1.0,1979,3,28,42.0,2015-01-01,1.0,0.0,0.0,0.0,Serviços
61173,58bb19a669b95492bf3425242becddb5fbf6a6c7,1.0,4.0,1.0,3.0,1.0,3.0,1992,8,1,21.0,2015-01-01,,,1.0,0.0,Serviços
61210,f0ec62144e7c64db3a749214d5c57b238eafdbf4,5.0,1.0,1.0,3.0,1.0,0.0,1996,6,16,42.0,2015-01-01,0.0,0.0,0.0,0.0,Serviços
61241,86d974703f7a1d500a6e54b0a405a18a7278933f,5.0,1.0,1.0,3.0,1.0,0.0,1971,6,25,29.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
61636,22c703faebaa15a876e984e62230e97873f115df,5.0,1.0,3.0,3.0,1.0,1.0,1996,3,21,42.0,2016-01-01,1.0,0.0,1.0,0.0,Serviços
62115,4bcf7e63be70bfaea24d2e356ba1c69e0e3808a4,1.0,4.0,1.0,3.0,1.0,3.0,1968,2,22,41.0,2016-01-01,,,0.0,0.0,Serviços
62133,9f61903ed1fd3e5ce9194dced5ea9b9ea9be5c47,5.0,1.0,1.0,3.0,1.0,0.0,1992,11,6,42.0,2014-01-01,0.0,0.0,0.0,0.0,Serviços
62149,82bd33d1e789595bebb521b6959dde47d0adc051,5.0,1.0,3.0,3.0,1.0,0.0,1991,10,4,42.0,2014-01-07,0.0,0.0,0.0,0.0,Serviços
"62150,ec71309911e585bd4e0319f961f6a26706a68400,1.0,1.0,4.0,1.0,1.0,1.0,1991,7,30,42.0,2014-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
